id,feedback,prediction,confidence
1,,0,0.0
2,,0,0.0
3,,0,0.0
4,,0,0.0
5,,0,0.0
6,,0,0.0
7,,0,0.0
8,,0,0.0
9,,0,0.0
10,,0,0.0
11,,0,0.0
12,,0,0.0
13,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
14,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
15,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
16,,0,0.0
17,,0,0.0
18,,0,0.0
19,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
20,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
21,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,0.9996713399887085
22,,0,0.0
23,,0,0.0
24,,0,0.0
25,有印出Hello World,1,0.999671459197998
26,有編譯成功,1,0.999671220779419
27,排版整齊,1,0.9996713399887085
28,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,0.9996713399887085
29,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,0.9996713399887085
30,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,0.9996713399887085
31,有印出Hello World,1,0.999671459197998
32,有編譯成功,1,0.999671220779419
33,排版整齊,1,0.9996713399887085
34,good,0,0.9995524287223816
35,good,0,0.9995524287223816
36,good,0,0.9995524287223816
37,簡潔明瞭,0,0.9995494484901428
38,,0,0.0
39,,0,0.0
40,good,0,0.9995524287223816
41,good,0,0.9995524287223816
42,good,0,0.9995524287223816
43,有,0,0.9995524287223816
44,有,0,0.9995524287223816
45,整齊,0,0.9995524287223816
46,Nice,0,0.9995524287223816
47,Good,0,0.9995524287223816
48,Perfect,0,0.9995524287223816
49,有 達成要求,1,0.999671459197998
50,編譯成功沒問題,1,0.999671220779419
51,排版整齊 讚讚,1,0.9996713399887085
52,good,0,0.9995524287223816
53,good,0,0.9995524287223816
54,good,0,0.9995524287223816
55,可以改成Hello World,1,0.999671459197998
56,,0,0.0
57,,0,0.0
